time  species0  species1  species2  species3  species4  species5  species6  species7  species8  species9  species10  species11  species12  species13  species14  species15  species16  species17  species18  species19  species20  species21  species22  species23  species24  species25  species26  species27  species28  species29  species30  species31  species32  species33  species34  species35  species36  species37  species38  species39  species40  species41  species42  species43  species44  species45  species46  species47  species48  species49  species50  species51  species52  species53  species54  species55  species56  species57  species58  species59  species60  species61  species62  species63  species64  species65  species66  species67  species68  species69  species70  species71  species72  species73  species74  species75  species76  species77  species78  species79  species80  species81  species82  species83  species84  species85  species86  species87  species88  species89  species90  species91  species92  species93  species94  species95  species96  species97  species98  species99  
0  2  0  3  1  2  6  1  2  2  2  0  1  3  3  2  3  4  9  7  5  3  6  4  4  4  8  8  8  9  8  11  9  13  22  32  22  34  46  61  55  72  66  98  108  143  138  175  208  274  290  304  402  453  524  624  757  824  1074  1239  1512  1882  2053  2322  2739  3210  3568  3962  4442  5106  5483  5885  6269  6944  7282  8064  8317  9128  9437  10081  10650  11539  12150  12962  13398  14319  15330  16059  17013  18336  19305  20714  22118  23752  25270  27140  29035  31874  35094  38522  42777  
1  0  0  4  1  1  0  3  2  3  2  5  3  5  2  6  8  8  10  13  12  3  14  13  12  18  14  23  18  27  20  25  36  39  30  49  49  56  76  63  80  84  99  129  132  143  153  176  183  221  250  260  338  364  383  411  484  564  605  731  805  893  992  1102  1262  1334  1558  1795  2005  2283  2595  2946  3318  3670  4236  4673  5255  5715  6502  7146  7885  8443  9445  10438  11355  12346  14099  15027  16424  17924  19742  21629  23690  26166  28243  31814  34365  38649  42623  47772  52728  
2  1  1  0  1  3  0  1  1  2  7  2  8  3  5  6  9  4  6  8  7  7  11  20  13  14  14  23  27  26  26  28  31  36  49  45  53  59  70  75  84  72  88  120  129  144  154  148  190  187  233  258  277  343  389  419  471  491  644  656  696  823  928  966  1158  1263  1419  1581  1830  1927  2239  2441  2800  3106  3466  3879  4373  4857  5489  6152  6751  7671  8370  9458  10249  11523  12926  14167  15623  17579  19443  21878  23827  26851  29186  32889  36021  40660  44780  50522  55901  
3  2  2  2  2  3  1  2  2  6  2  6  6  3  4  11  4  13  5  11  13  6  7  22  10  12  25  21  13  18  32  31  46  34  46  46  45  71  51  71  64  81  89  89  125  147  150  168  204  231  247  242  288  310  372  434  455  496  578  655  715  810  919  1020  1158  1232  1345  1550  1660  1887  2114  2481  2741  3008  3328  3794  4106  4688  5127  5839  6438  7297  8071  9088  10091  11201  12296  13946  15360  17222  19041  21553  23856  27039  29432  33442  36874  41222  45760  51511  56539  
4  2  0  1  1  2  1  1  3  4  4  4  4  5  3  4  4  5  10  6  7  6  8  8  12  17  27  22  18  22  27  25  43  46  48  45  54  71  69  69  72  92  110  96  138  145  144  182  192  207  243  262  291  344  327  393  470  495  590  637  744  823  913  986  1070  1237  1371  1490  1694  1880  2075  2403  2694  2933  3299  3806  4106  4745  5154  5766  6336  7156  8142  8790  9925  11091  12473  13854  15542  17336  19256  21603  23849  26766  29458  33700  36653  41353  45914  51498  56753  
5  0  1  1  1  2  3  5  4  4  1  5  4  4  5  6  5  8  6  3  8  13  11  8  17  9  22  17  26  23  33  31  36  35  41  43  42  44  67  79  89  83  106  107  116  151  161  164  204  223  240  258  299  322  393  421  446  489  566  615  701  823  906  1005  1151  1290  1359  1480  1702  1945  2212  2369  2620  3074  3341  3719  4112  4647  5176  5761  6445  7146  8077  8796  9845  11219  12364  13828  15502  16949  19132  21673  23818  26754  29495  33435  36715  41426  45739  51744  57152  
6  4  3  1  1  1  2  0  1  4  3  2  5  4  2  6  1  4  6  4  13  8  5  14  9  23  17  21  17  23  25  24  28  39  47  36  49  58  65  83  82  80  124  138  142  142  158  172  212  233  246  245  276  344  380  434  466  518  590  643  733  824  874  996  1060  1195  1409  1538  1731  1921  2102  2345  2673  3006  3317  3714  4127  4614  5135  5829  6310  7139  8023  8902  9855  11166  12274  13800  15526  17069  19196  21356  23813  27043  29505  33617  36934  41518  45790  51176  57311  
7  0  1  0  0  4  3  4  1  0  6  4  9  3  4  4  5  3  4  9  7  6  8  11  12  17  14  24  17  22  29  30  31  39  31  33  43  69  62  73  93  106  109  113  111  117  147  161  204  252  232  271  289  331  382  449  444  484  567  659  727  821  888  954  1065  1212  1306  1581  1709  1926  2082  2290  2657  2948  3302  3698  4119  4685  5114  5662  6415  7163  7984  8928  10012  11117  12373  13892  15455  17431  19132  21489  23760  26985  29661  33757  36538  41541  45750  50968  57413  
8  2  2  6  3  1  5  0  2  2  2  1  3  9  8  5  3  11  6  9  4  12  8  10  11  18  13  18  20  32  23  28  37  43  38  38  58  73  64  83  85  91  110  113  124  142  157  174  198  209  280  269  297  309  384  367  413  519  606  624  682  790  901  950  1176  1192  1363  1596  1728  1947  2025  2380  2649  3055  3278  3676  4207  4667  5100  5783  6447  7130  7950  8872  9976  11217  12319  13815  15544  17123  18938  21427  23987  26766  29765  33362  36647  41377  45822  51537  57383  
9  1  0  3  3  3  1  0  1  2  1  2  4  5  6  9  6  4  10  11  6  6  12  6  15  17  15  19  24  28  19  32  37  30  35  53  58  54  62  55  66  93  106  133  115  137  158  162  188  241  236  255  264  335  354  405  482  488  548  655  726  811  874  1015  1100  1210  1378  1559  1761  1948  2154  2422  2620  2887  3286  3639  4188  4541  5294  5921  6506  7176  7924  8922  9957  11161  12241  13958  15308  17098  19095  21531  23698  26674  29372  33527  36844  41600  45982  51250  57467  
